# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit K
date,LST-AMSR2-DESC_V1.0_1000
2016-03-22,273.7287
2016-03-23,272.7880
2016-03-24,271.1558
2016-03-25,274.8111
2016-03-26,269.0331
2016-03-27,272.6557
2016-03-28,273.9134
2016-03-29,275.6815
2016-03-30,274.0273
2016-03-31,272.3325
2016-04-01,271.9820
2016-04-02,272.2517
2016-04-03,277.5497
2016-04-04,272.6488
2016-04-05,275.5306
2016-04-06,274.5712
2016-04-07,273.3635
2016-04-08,272.6638
2016-04-09,272.9684
2016-04-10,275.8083
2016-04-11,270.9224
2016-04-12,272.8623
2016-04-13,274.6231
2016-04-14,279.6322
2016-04-15,280.2431
2016-04-16,273.4481
2016-04-17,274.0902
2016-04-18,274.0654
2016-04-19,276.0913
2016-04-20,277.1177
2016-04-21,278.1079
2016-04-22,274.8612
2016-04-23,279.6596
2016-04-24,281.4832
2016-04-25,273.1961
2016-04-26,273.3278
2016-04-27,273.8502
2016-04-28,274.6330
2016-04-29,274.3872
2016-04-30,276.3147
2016-05-01,274.7603
2016-05-02,279.3793
2016-05-03,279.1353
2016-05-04,277.8997
2016-05-05,285.2264
2016-05-06,286.6148
2016-05-07,279.0759
2016-05-08,279.5184
2016-05-09,282.7857
2016-05-10,284.0772
2016-05-11,277.0805
2016-05-12,279.6500
2016-05-13,275.2882
2016-05-14,274.4505
2016-05-15,275.0554
2016-05-16,278.0751
2016-05-17,276.9435
2016-05-18,280.2831
2016-05-19,283.6496
2016-05-20,285.7587
2016-05-21,285.2161
2016-05-22,290.0412
2016-05-23,281.3349
2016-05-24,281.5384
2016-05-25,284.8248
2016-05-26,280.9696
2016-05-27,280.0122
2016-05-28,285.3635
2016-05-29,282.2062
2016-05-30,284.5092
2016-05-31,280.5866
2016-06-01,279.3444
2016-06-02,278.9143
2016-06-03,284.7325
2016-06-04,284.7773
2016-06-05,285.1976
2016-06-06,283.8584
2016-06-07,281.2573
2016-06-08,286.1877
2016-06-09,290.4820
2016-06-10,290.0135
2016-06-11,289.0436
2016-06-12,288.6753
2016-06-13,284.8161
2016-06-14,287.8124
2016-06-15,283.8304
2016-06-16,287.8700
2016-06-17,292.8980
2016-06-18,286.0326
2016-06-19,293.3837
2016-06-20,285.3006
2016-06-21,283.6013
2016-06-22,286.2303
2016-06-23,280.4166
2016-06-24,287.5153
2016-06-25,291.1150
2016-06-26,286.9424
2016-06-27,285.8531
2016-06-28,282.9097
2016-06-29,286.8018
2016-06-30,284.9335
2016-07-01,280.7225
2016-07-02,286.0332
2016-07-03,288.7083
2016-07-04,290.1640
2016-07-05,286.3341
2016-07-06,284.7106
2016-07-07,285.3005
2016-07-08,283.4974
2016-07-09,286.9729
2016-07-10,289.2040
2016-07-11,286.9993
2016-07-12,285.1192
2016-07-13,286.6192
2016-07-14,284.3517
2016-07-15,282.1671
2016-07-16,284.7587
2016-07-17,286.4699
2016-07-18,285.2575
2016-07-19,291.4401
2016-07-20,295.1267
2016-07-21,290.8601
2016-07-22,291.0358
2016-07-23,289.4527
2016-07-24,286.9916
2016-07-25,286.8932
2016-07-26,291.1783
2016-07-27,286.9662
2016-07-28,285.3222
2016-07-29,284.6927
2016-07-30,287.2186
2016-07-31,291.1216
2016-08-01,291.5874
2016-08-02,287.1247
2016-08-03,289.6671
2016-08-04,285.7678
2016-08-05,282.0652
2016-08-06,285.1556
2016-08-07,287.1500
2016-08-08,289.7109
2016-08-09,288.0562
2016-08-10,286.7866
2016-08-11,289.0628
2016-08-12,285.7560
2016-08-13,283.6433
2016-08-14,282.5989
2016-08-15,287.2171
2016-08-16,286.4892
2016-08-17,286.3440
2016-08-18,289.7324
2016-08-19,281.5665
2016-08-20,282.2191
2016-08-21,279.1218
2016-08-22,286.2919
2016-08-23,290.7778
2016-08-24,283.4672
2016-08-25,284.4946
2016-08-26,280.0323
2016-08-27,283.3918
2016-08-28,286.1642
2016-08-29,288.4946
2016-08-30,283.2561
2016-08-31,288.1723
2016-09-01,288.8895
2016-09-02,291.3399
2016-09-03,291.2699
2016-09-04,289.0827
2016-09-05,284.6882
2016-09-06,283.1468
2016-09-07,281.8492
2016-09-08,278.8441
2016-09-09,279.7266
2016-09-10,278.8260
2016-09-11,282.2690
2016-09-12,283.9869
2016-09-13,278.3541
2016-09-14,277.8753
2016-09-15,285.6258
2016-09-16,282.4773
2016-09-17,278.9437
2016-09-18,285.0012
2016-09-19,282.0946
2016-09-20,280.6226
2016-09-21,282.5763
