# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit m3/m3
date,SM-AMSR2-C1-DESC_V5.0_1000
2017-09-07,0.1551
2017-09-08,0.1557
2017-09-09,0.1636
2017-09-10,0.1508
2017-09-11,0.1394
2017-09-12,0.1712
2017-09-13,0.1486
2017-09-14,0.1526
2017-09-15,0.1952
2017-09-16,0.3488
2017-09-17,0.3021
2017-09-18,0.2901
2017-09-19,0.2593
2017-09-20,0.2839
2017-09-21,0.2623
2017-09-22,0.2474
2017-09-23,0.2667
2017-09-24,0.3220
2017-09-25,0.3174
2017-09-26,0.2842
2017-09-27,0.3096
2017-09-28,
2017-09-29,0.2552
2017-09-30,0.2590
2017-10-01,0.2317
2017-10-02,0.2546
2017-10-03,0.2509
2017-10-04,0.2682
2017-10-05,0.2438
2017-10-06,0.2265
2017-10-07,0.2303
2017-10-08,0.2075
2017-10-09,0.2114
2017-10-10,0.2341
2017-10-11,0.2206
2017-10-12,0.2065
2017-10-13,0.2105
2017-10-14,0.2063
2017-10-15,0.2269
2017-10-16,0.2331
2017-10-17,0.2235
2017-10-18,0.2075
2017-10-19,0.2083
2017-10-20,0.2047
2017-10-21,0.1932
2017-10-22,0.2095
2017-10-23,0.2227
2017-10-24,0.2094
2017-10-25,0.2064
2017-10-26,0.1950
2017-10-27,0.2133
2017-10-28,0.2081
2017-10-29,0.2131
2017-10-30,0.2107
2017-10-31,0.2111
2017-11-01,0.2125
2017-11-02,0.2471
2017-11-03,0.2117
2017-11-04,0.2384
2017-11-05,0.2533
2017-11-06,0.2357
2017-11-07,0.2236
2017-11-08,0.2379
2017-11-09,0.2196
2017-11-10,0.2241
2017-11-11,0.2394
2017-11-12,0.2420
2017-11-13,0.2386
2017-11-14,0.2514
2017-11-15,0.2277
2017-11-16,0.2250
2017-11-17,0.2341
2017-11-18,0.2197
2017-11-19,0.2226
2017-11-20,0.2190
2017-11-21,0.2227
2017-11-22,0.2384
2017-11-23,0.2347
2017-11-24,0.2833
2017-11-25,0.2272
2017-11-26,0.2356
2017-11-27,0.2525
2017-11-28,0.2549
2017-11-29,0.2389
2017-11-30,0.2443
2017-12-01,0.2352
2017-12-02,0.2338
2017-12-03,0.2314
2017-12-04,0.2333
2017-12-05,0.2301
2017-12-06,0.2127
2017-12-07,0.2342
2017-12-08,0.2358
2017-12-09,0.2279
2017-12-10,0.2343
2017-12-11,0.2734
2017-12-12,0.2304
2017-12-13,0.2787
2017-12-14,0.2336
2017-12-15,0.2284
2017-12-16,0.2483
2017-12-17,0.2266
2017-12-18,0.2397
2017-12-19,0.2294
2017-12-20,0.2366
2017-12-21,0.2279
2017-12-22,0.2266
2017-12-23,0.2466
2017-12-24,0.2420
2017-12-25,0.2560
2017-12-26,0.2652
2017-12-27,0.2730
2017-12-28,0.2477
2017-12-29,0.2577
2017-12-30,0.2639
2017-12-31,0.2592
2018-01-01,0.2650
2018-01-02,0.2675
2018-01-03,0.2697
2018-01-04,0.2586
2018-01-05,0.2487
2018-01-06,0.2527
2018-01-07,0.2566
2018-01-08,0.2440
2018-01-09,0.2424
2018-01-10,0.2425
2018-01-11,0.2421
2018-01-12,0.2489
2018-01-13,0.2497
2018-01-14,0.2523
2018-01-15,0.2569
2018-01-16,0.2658
2018-01-17,0.2650
2018-01-18,0.2534
2018-01-19,0.2668
2018-01-20,0.2419
2018-01-21,0.2267
2018-01-22,0.2302
2018-01-23,0.2276
2018-01-24,0.2348
2018-01-25,0.2321
2018-01-26,0.2313
2018-01-27,0.2303
2018-01-28,0.2390
2018-01-29,0.2349
2018-01-30,0.2360
2018-01-31,0.2305
2018-02-01,0.2469
2018-02-02,0.2523
2018-02-03,0.2376
2018-02-04,0.2485
2018-02-05,0.2555
2018-02-06,0.2557
2018-02-07,0.2512
2018-02-08,0.2442
2018-02-09,0.2549
2018-02-10,0.2646
2018-02-11,0.2647
2018-02-12,0.2633
2018-02-13,0.2593
2018-02-14,0.2628
2018-02-15,0.2304
2018-02-16,0.2441
2018-02-17,0.2376
2018-02-18,0.2338
2018-02-19,0.2307
2018-02-20,0.2384
2018-02-21,0.2510
2018-02-22,0.2478
2018-02-23,0.2381
2018-02-24,0.2484
2018-02-25,0.2423
2018-02-26,0.2504
2018-02-27,0.2429
2018-02-28,0.2400
2018-03-01,0.2393
2018-03-02,0.2384
2018-03-03,0.2372
2018-03-04,0.2949
2018-03-05,0.2897
2018-03-06,0.2549
2018-03-07,0.2344
2018-03-08,0.2354
2018-03-09,0.2258
2018-03-10,0.2197
2018-03-11,0.2277
2018-03-12,0.2399
2018-03-13,0.2328
2018-03-14,0.2400
2018-03-15,0.2452
2018-03-16,0.2385
2018-03-17,0.2422
2018-03-18,0.2550
2018-03-19,0.2516
2018-03-20,0.2460
2018-03-21,0.2532
2018-03-22,0.2702
2018-03-23,0.2997
2018-03-24,0.2938
2018-03-25,0.2986
2018-03-26,0.2907
2018-03-27,0.2615
2018-03-28,0.3357
2018-03-29,0.2715
2018-03-30,0.2763
2018-03-31,0.2495
2018-04-01,0.2380
2018-04-02,0.2444
2018-04-03,0.2344
2018-04-04,0.2335
2018-04-05,0.2369
2018-04-06,0.2294
2018-04-07,0.2358
2018-04-08,0.2399
2018-04-09,0.2268
2018-04-10,0.2340
2018-04-11,0.2827
2018-04-12,0.3212
2018-04-13,0.3166
2018-04-14,0.2595
2018-04-15,0.2520
2018-04-16,0.2703
2018-04-17,0.2923
2018-04-18,0.3466
2018-04-19,0.3396
2018-04-20,0.3800
2018-04-21,0.3951
2018-04-22,0.3757
2018-04-23,0.3706
2018-04-24,0.3592
2018-04-25,0.3630
2018-04-26,0.3433
2018-04-27,0.3304
2018-04-28,0.3178
2018-04-29,0.3042
2018-04-30,0.3064
2018-05-01,0.3240
2018-05-02,0.3189
2018-05-03,0.3046
2018-05-04,0.2837
2018-05-05,0.2590
2018-05-06,0.2638
2018-05-07,0.2445
2018-05-08,0.2514
2018-05-09,0.2774
2018-05-10,0.2520
